Year,Creek,Branch,Transect,TSA,SSA,Sp,Ds,Jg,Tm,Ap,Sd,LC,IF,Water,Mud,Dead
2003,SW,Left,1,8.911,2.422,50.867,30.978,1.822,0.000,0.033,0.000,NA,NA,NA,NA,NA
2003,SW,Left,3,2.174,3.793,41.522,43.652,0.000,0.217,1.261,0.000,NA,NA,NA,NA,NA
2003,SW,Right,1,10.043,9.413,58.500,13.152,1.717,0.000,0.109,0.000,NA,NA,NA,NA,NA
2003,SW,Right,2,3.022,29.804,37.674,17.870,0.000,0.000,0.163,0.152,NA,NA,NA,NA,NA
2004,SW,Left,1,4.636,2.400,68.945,13.282,0.000,0.555,0.173,0.000,NA,NA,NA,NA,NA
2004,SW,Left,2,1.296,5.491,60.833,17.250,0.000,2.370,0.509,0.046,NA,NA,NA,NA,NA
2004,SW,Left,3,0.472,5.407,70.185,12.176,0.000,2.111,0.056,0.000,NA,NA,NA,NA,NA
2004,SW,Right,1,4.375,5.688,71.250,3.214,0.000,1.018,0.232,0.000,NA,NA,NA,NA,NA
2004,SW,Right,2,1.818,17.627,60.736,4.518,0.009,0.091,0.673,0.000,NA,NA,NA,NA,NA
2004,SW,Right,3,2.685,44.361,30.296,2.944,0.000,0.398,1.231,0.000,NA,NA,NA,NA,NA
2005,SW,Left,1,4.375,1.973,67.911,10.625,0.268,0.000,1.205,0.071,NA,NA,NA,NA,NA
2005,SW,Left,2,0.000,8.824,81.078,6.784,0.000,0.000,1.049,0.108,NA,NA,NA,NA,NA
2005,SW,Left,3,2.222,5.454,79.852,4.833,0.000,0.000,3.111,0.130,NA,NA,NA,NA,NA
2005,SW,Right,1,4.643,4.268,81.714,4.259,0.000,0.089,0.518,0.107,NA,NA,NA,NA,NA
2005,SW,Right,2,5.089,22.098,60.170,5.411,0.000,0.000,0.098,0.054,NA,NA,NA,NA,NA
2005,SW,Right,3,3.571,51.482,36.170,0.634,0.000,0.000,0.741,0.991,NA,NA,NA,NA,NA
2006,SW,Left,1,6.690,2.724,53.069,30.086,1.138,0.000,0.069,0.000,NA,NA,NA,NA,NA
2006,SW,Left,2,1.786,12.125,59.161,20.589,0.000,0.000,0.077,0.000,NA,NA,NA,NA,NA
2006,SW,Left,3,1.286,8.788,57.089,25.857,0.000,0.000,0.096,0.000,NA,NA,NA,NA,NA
2006,SW,Right,1,4.107,8.946,67.143,13.232,0.000,0.196,0.196,0.000,NA,NA,NA,NA,NA
2006,SW,Right,2,4.911,26.411,50.768,11.982,0.000,0.000,0.009,0.018,NA,NA,NA,NA,NA
2006,SW,Right,3,3.125,55.857,30.714,6.286,0.000,0.000,0.214,0.330,NA,NA,NA,NA,NA
2007,SW,Left,1,4.811,1.679,58.302,26.189,1.047,0.000,0.736,0.000,NA,NA,NA,NA,NA
2007,SW,Left,2,1.774,3.057,76.547,8.377,0.000,0.000,0.264,0.321,NA,NA,NA,NA,NA
2007,SW,Left,3,2.308,0.769,66.154,21.077,0.000,0.308,3.375,0.000,NA,NA,NA,NA,NA
2007,SW,Right,1,2.925,9.057,71.434,2.717,0.000,0.151,1.160,0.292,NA,NA,NA,NA,NA
2007,SW,Right,2,8.302,11.170,60.292,5.528,0.000,0.000,0.340,0.113,NA,NA,NA,NA,NA
2007,SW,Right,3,4.245,48.387,25.151,4.047,0.000,0.000,0.340,0.255,NA,NA,NA,NA,NA
2008,SW,Left,1,3.208,0.765,58.509,16.321,0.000,0.000,0.585,0.047,NA,NA,NA,NA,NA
2008,SW,Left,2,0.698,3.075,69.962,4.811,0.000,0.000,0.425,0.547,NA,NA,NA,NA,NA
2008,SW,Right,1,3.736,3.934,53.198,1.783,0.000,0.000,0.142,0.057,NA,NA,NA,NA,NA
2008,SW,Right,2,3.491,6.683,53.887,4.858,0.000,0.000,0.104,0.377,NA,NA,NA,NA,NA
2008,SW,Right,3,4.313,35.698,25.083,2.969,0.000,0.000,0.542,0.406,NA,NA,NA,NA,NA
2003,WE,Left,1,10.226,4.623,49.094,22.113,0.000,0.019,1.217,0.208,NA,NA,NA,NA,NA
2003,WE,Left,2,3.300,14.540,44.980,20.810,5.720,0.310,0.510,0.000,NA,NA,NA,NA,NA
2003,WE,Left,3,5.510,10.167,56.471,15.725,0.000,0.020,0.029,0.000,NA,NA,NA,NA,NA
2003,WE,Right,1,5.265,27.898,39.755,9.694,0.000,0.010,0.082,0.071,NA,NA,NA,NA,NA
2003,WE,Right,2,3.064,29.372,42.319,11.106,0.000,0.021,0.798,0.149,NA,NA,NA,NA,NA
2003,WE,Right,3,11.511,26.957,19.000,28.426,0.000,0.000,0.085,0.021,NA,NA,NA,NA,NA
2004,WE,Left,1,3.208,3.642,65.057,5.302,0.094,1.679,0.302,0.057,NA,NA,NA,NA,NA
2004,WE,Left,3,3.796,8.537,74.667,3.583,0.009,0.454,0.056,0.000,NA,NA,NA,NA,NA
2004,WE,Right,1,3.545,24.118,44.064,7.864,0.000,1.300,0.336,0.000,NA,NA,NA,NA,NA
2004,WE,Right,2,0.038,15.000,52.038,10.151,0.123,0.245,0.198,0.000,NA,NA,NA,NA,NA
2005,WE,Left,1,6.527,6.241,63.429,10.170,0.000,0.241,1.643,0.607,NA,NA,NA,NA,NA
2005,WE,Left,2,5.446,17.661,58.759,2.714,0.268,0.161,1.071,0.277,NA,NA,NA,NA,NA
2005,WE,Left,3,5.000,9.911,73.438,4.598,0.000,0.036,1.000,0.045,NA,NA,NA,NA,NA
2005,WE,Right,1,2.232,30.152,45.589,6.652,0.000,0.018,0.366,0.357,NA,NA,NA,NA,NA
2005,WE,Right,2,0.179,19.366,59.536,4.500,0.000,0.000,0.643,0.348,NA,NA,NA,NA,NA
2005,WE,Right,3,1.830,28.472,58.311,1.283,0.000,0.462,0.443,0.623,NA,NA,NA,NA,NA
2006,WE,Left,1,7.164,6.691,59.455,17.673,0.000,0.218,0.518,0.045,NA,NA,NA,NA,NA
2006,WE,Left,2,4.528,21.660,52.585,13.170,0.406,0.075,0.368,0.028,NA,NA,NA,NA,NA
2006,WE,Left,3,4.815,9.148,62.972,14.500,0.000,0.009,0.231,0.028,NA,NA,NA,NA,NA
2006,WE,Right,1,3.704,34.796,39.315,16.528,0.000,0.009,0.009,0.000,NA,NA,NA,NA,NA
2006,WE,Right,2,0.047,28.085,49.717,9.689,0.000,0.000,0.057,0.000,NA,NA,NA,NA,NA
2006,WE,Right,3,1.509,22.896,61.113,7.868,0.000,1.047,0.123,0.000,NA,NA,NA,NA,NA
2007,WE,Left,1,10.943,2.726,63.311,14.170,0.000,0.000,1.651,0.302,NA,NA,NA,NA,NA
2007,WE,Left,2,2.943,12.679,61.349,2.811,3.868,0.038,1.406,0.179,NA,NA,NA,NA,NA
2007,WE,Left,3,4.660,6.547,69.302,2.066,0.000,0.000,0.972,0.057,NA,NA,NA,NA,NA
2007,WE,Right,1,4.407,33.463,48.657,1.537,0.000,0.074,0.019,0.093,NA,NA,NA,NA,NA
2007,WE,Right,2,0.865,23.712,50.173,9.567,0.000,0.010,0.154,0.163,NA,NA,NA,NA,NA
2007,WE,Right,3,2.115,30.144,41.865,12.865,0.000,0.000,0.019,0.231,NA,NA,NA,NA,NA
2008,WE,Left,1,9.083,3.917,47.219,11.479,0.552,0.240,4.510,1.344,NA,NA,NA,NA,NA
2008,WE,Left,2,2.635,8.587,53.769,5.692,6.385,0.010,1.539,0.375,NA,NA,NA,NA,NA
2008,WE,Left,3,4.491,6.259,63.028,2.806,0.000,0.000,0.861,0.083,NA,NA,NA,NA,NA
2008,WE,Right,1,3.019,24.274,32.179,8.708,0.000,0.028,0.198,0.509,NA,NA,NA,NA,NA
2008,WE,Right,2,0.735,24.224,45.265,4.449,0.000,0.000,0.980,1.694,NA,NA,NA,NA,NA
2008,WE,Right,3,6.453,32.972,38.123,13.613,0.000,0.000,0.472,0.726,NA,NA,NA,NA,NA
2009,CL,R,1,6.155,18.578,45.569,12.319,0.000,0.086,0.026,1.147,0.017,0.000,0.172,7.931,8.500
2009,CL,R,2,4.100,19.860,56.860,6.600,0.000,0.010,0.160,0.390,0.000,0.000,1.700,2.020,8.900
2009,CL,R,3,2.075,22.434,56.349,5.311,0.000,0.000,0.538,0.274,0.000,0.000,3.491,1.396,7.717
2009,CL,R,4,7.931,9.940,52.724,3.655,0.000,0.000,0.379,0.336,0.000,0.000,0.172,0.603,25.655
2009,NE,L,1,6.705,25.295,55.409,1.875,0.000,0.000,0.193,0.386,0.023,0.000,2.386,1.432,6.750
2009,NE,L,2,5.200,2.290,78.360,9.610,0.000,0.000,0.240,0.080,0.000,0.000,0.200,1.300,3.060
2009,NE,L,3,1.200,15.350,67.670,10.680,0.000,0.010,0.530,0.490,0.000,0.000,0.200,1.580,3.440
2009,NE,L,4,3.679,27.632,52.679,11.736,0.000,0.000,0.292,0.896,0.000,0.000,0.094,3.264,0.283
2009,WE,R,1,3.241,29.565,34.241,11.009,0.000,0.000,0.407,0.194,0.009,0.000,0.278,15.833,5.481
2009,WE,R,2,1.700,24.800,48.360,15.620,0.000,0.020,0.680,0.240,0.000,0.000,2.500,4.500,2.020
2009,WE,R,3,1.604,33.509,48.094,3.792,0.953,0.000,0.934,0.236,0.000,0.000,1.321,2.509,6.396
2009,WE,R,4,5.185,6.315,69.611,13.843,0.000,0.000,0.417,0.361,0.056,0.000,0.185,0.074,4.676
2009,WE,L,1,8.768,3.054,55.518,16.848,0.000,0.170,0.500,0.232,0.000,0.000,2.964,3.839,9.339
2009,WE,L,2,5.704,7.250,71.463,6.565,0.148,0.093,0.352,0.269,0.009,0.000,0.000,1.648,5.167
2009,WE,L,3,3.636,6.755,71.536,5.445,0.000,0.000,0.427,0.355,0.000,0.000,0.000,4.636,7.582
2009,WE,L,4,4.643,4.554,61.071,15.107,0.071,0.170,0.821,0.009,0.116,0.000,0.804,1.536,11.821
2009,SW,R,1,6.607,4.491,76.607,8.161,0.071,0.054,0.089,0.009,0.000,0.000,0.518,2.018,1.446
2009,SW,R,2,6.545,13.655,66.682,10.218,0.000,0.000,0.055,0.082,0.000,0.000,0.000,1.091,1.482
2009,SW,R,3,3.889,46.343,26.000,10.991,0.000,0.000,0.213,0.444,0.000,0.426,3.519,5.852,3.176
2009,SW,R,4,5.909,9.027,62.000,21.073,0.273,1.164,0.100,0.000,0.027,0.291,0.000,0.764,0.000
2009,SW,L,1,9.123,0.921,55.737,33.140,0.281,0.009,0.184,0.009,0.000,0.000,0.877,0.263,0.018
2009,SW,L,2,4.364,6.091,69.309,17.500,0.000,0.000,0.136,0.036,0.000,0.000,1.145,1.727,0.100
2009,SW,L,3,2.264,0.594,72.736,23.387,0.000,0.160,0.368,0.000,0.000,0.000,0.943,0.189,0.160
2009,SW,L,4,6.000,36.173,46.318,10.082,0.000,0.009,0.164,0.064,0.000,0.000,0.727,1.091,0.000
2011,CL,R,1,1.250,33.127,43.351,15.554,0.000,0.036,0.000,0.039,0.000,0.000,3.161,2.893,0.589
2011,CL,R,2,9.241,20.770,33.287,11.204,0.000,0.000,0.000,0.060,0.000,0.000,5.870,15.327,4.241
2011,CL,R,3,1.415,31.443,27.961,9.849,0.000,0.000,0.000,0.021,0.000,0.000,5.679,22.159,1.472
2011,NE,L,1,3.519,37.928,39.955,4.704,0.000,0.000,0.111,0.042,0.000,0.000,3.704,4.926,5.111
2011,NE,L,2,7.019,11.375,58.927,5.830,0.000,0.000,0.189,0.040,0.000,0.000,1.792,10.412,4.415
2011,NE,L,3,8.924,9.022,39.903,6.583,0.000,0.001,0.077,1.248,0.000,0.000,2.264,24.996,6.981
2011,SW,L,1,4.444,0.958,51.933,40.683,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.204,1.759
2011,SW,L,2,3.518,6.763,60.869,17.164,0.000,0.000,0.000,0.001,0.000,0.000,9.388,0.296,2.000
2011,SW,L,3,2.130,0.189,41.993,51.670,0.000,0.037,0.000,0.000,0.000,0.000,1.296,1.167,1.519
2011,SW,R,1,2.589,3.742,74.506,10.554,0.447,0.001,0.000,0.001,0.000,0.000,1.607,1.982,4.571
2011,SW,R,2,8.349,9.447,50.824,7.785,0.000,0.000,0.000,0.002,0.000,0.000,6.330,16.225,1.038
2011,SW,R,3,4.444,53.596,21.880,7.239,0.000,0.000,0.001,0.005,0.000,0.000,8.444,0.574,3.815
2011,WE,L,1,8.395,2.134,59.204,24.678,0.000,0.057,0.021,0.001,0.000,0.000,3.519,3.519,3.519
2011,WE,L,2,1.852,17.142,60.847,11.689,0.004,0.019,0.001,0.004,0.000,0.000,7.019,7.019,7.019
2011,WE,L,3,4.426,11.051,71.850,7.300,0.000,0.000,0.037,0.002,0.000,0.000,8.924,8.924,8.924
2011,WE,R,1,3.981,33.212,38.869,10.454,0.000,0.019,0.019,0.003,0.000,0.000,5.500,3.204,4.741
2011,WE,R,2,2.208,30.178,37.425,15.113,0.000,0.000,0.095,0.001,0.000,0.000,14.057,0.377,0.547
2011,WE,R,3,8.940,28.080,26.078,15.477,0.000,0.001,0.023,0.021,0.000,0.000,8.442,10.437,2.500
